station_id,name,lat,long,install_date,install_dockcount,modification_date,current_dockcount,decommission_date
BT-01,3rd Ave & Broad St,47.618418,-122.350964,10/13/2014,18,,18,
BT-03,2nd Ave & Vine St,47.615829,-122.348564,10/13/2014,16,,16,
BT-04,6th Ave & Blanchard St,47.616094,-122.341102,10/13/2014,16,,16,
BT-05,2nd Ave & Blanchard St,47.61311,-122.344208,10/13/2014,14,,14,
CBD-03,7th Ave & Union St,47.610731,-122.332447,10/13/2014,20,,20,
CBD-04,Union St & 4th Ave,47.609221,-122.335596,7/27/2015,18,,18,
CBD-05,1st Ave & Marion St,47.604058,-122.3358,10/13/2014,20,,20,
CBD-06,2nd Ave & Spring St,47.60595,-122.335768,10/13/2014,20,11/9/2015,18,
CBD-07,City Hall / 4th Ave & James St,47.603509,-122.330409,10/13/2014,20,,20,
CBD-13,2nd Ave & Pine St,47.610185,-122.339641,10/13/2014,18,,18,
CD-01,12th Ave & E Yesler Way,47.602103,-122.316923,5/22/2015,16,8/9/2016,0,8/9/2016
CH-01,Summit Ave & E Denny Way,47.618633,-122.325249,10/13/2014,16,,16,
CH-02,E Harrison St & Broadway Ave E,47.622063,-122.321251,10/13/2014,18,2/24/2015,20,
CH-03,Summit Ave E & E Republican St,47.623367,-122.325279,10/13/2014,16,,16,
CH-05,15th Ave E & E Thomas St,47.620712,-122.312805,10/13/2014,16,,16,
CH-06,12th Ave & E Denny Way,47.618549,-122.317017,10/13/2014,16,,16,
CH-07,E Pine St & 16th Ave,47.61533,-122.311752,10/13/2014,18,,18,
CH-08,Cal Anderson Park / 11th Ave & Pine St,47.615486,-122.318245,10/13/2014,28,2/24/2015,26,
CH-09,Harvard Ave & E Pine St,47.615517,-122.322083,10/13/2014,16,,16,
CH-12,Bellevue Ave & E Pine St,47.615456,-122.326729,10/13/2014,18,,14,
CH-15,12th Ave & E Mercer St,47.624142,-122.316811,10/13/2014,16,,16,
DPD-01,9th Ave N & Mercer St,47.624298,-122.339617,10/13/2014,18,,18,
DPD-03,Children's Hospital / Sandpoint Way NE & 40th Ave NE,47.663509,-122.284119,10/13/2014,30,3/24/2015,24,
EL-01,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,47.627643,-122.332576,10/13/2014,12,3/27/2015,16,
EL-03,E Blaine St & Fairview Ave E,47.634831,-122.326634,10/13/2014,18,,18,
